Account name,Account IBAN,Counteraccount IBAN,Transaction date,Amount,Currency,Detail
Leonila,BE03125086651133,BE17371334185547,Sun Mar 15 07:32:00 CET 2020,4138.63,EUR,Tenetur ut ab molestiae rerum atque.
Leonila,BE03125086651133,BE29540905233038,Mon Mar 16 08:35:28 CET 2020,-1140.47,EUR,Beatae omnis culpa illum dolores aut adipisci.
Leonila,BE03125086651133,BE64714362695889,Wed Feb 26 19:18:58 CET 2020,4364.46,EUR,Modi et iste tempora nisi ut pariatur.
Leonila,BE03125086651133,BE52214928377917,Mon Mar 16 01:47:39 CET 2020,409.37,EUR,Et voluptas nihil.
Leonila,BE03125086651133,BE77980237929770,Tue Mar 10 13:21:04 CET 2020,-2636.57,EUR,Repellat sed eos consequatur molestiae deserunt et.
Leonila,BE03125086651133,BE09179851117635,Mon Mar 09 14:36:07 CET 2020,1271.18,EUR,Quos dolorem reiciendis.
Leonila,BE03125086651133,BE38064849437685,Sun Mar 15 07:33:57 CET 2020,-4552.54,EUR,Id non vel placeat repellat magnam possimus.
Leonila,BE03125086651133,BE32708808783179,Wed Feb 26 03:35:11 CET 2020,-2041.38,EUR,Modi non et cumque.
Leonila,BE03125086651133,BE52627062268820,Wed Mar 11 19:02:08 CET 2020,3123.15,EUR,Voluptatum non occaecati laboriosam cumque.
Leonila,BE03125086651133,BE36933773850704,Sat Mar 07 23:19:46 CET 2020,-4845.03,EUR,Sed eum qui occaecati ullam dignissimos at sit.
Connie,BE88115772075029,BE48661491213473,Mon Mar 09 01:16:33 CET 2020,-4751.89,EUR,Qui voluptate aliquid deserunt et.
Ervin,BE80620237528057,BE86108714490380,Tue Mar 10 21:59:48 CET 2020,-3982.57,EUR,Odit nulla molestias deserunt velit ducimus.
Ervin,BE80620237528057,BE28275721040521,Wed Mar 11 12:16:23 CET 2020,-1990.46,EUR,Dolor quia officia doloremque vel.
Ervin,BE80620237528057,BE90189041181454,Sun Mar 15 21:12:36 CET 2020,-4802.31,EUR,Eligendi distinctio magni blanditiis sed ut aut.
Ervin,BE80620237528057,BE76121098996115,Sat Mar 14 20:20:31 CET 2020,3127.28,EUR,Doloribus ab itaque optio.
Ervin,BE80620237528057,BE94312022365699,Fri Mar 13 03:46:40 CET 2020,3542.54,EUR,Quas distinctio quaerat dolorem qui blanditiis.
Ervin,BE80620237528057,BE20492454620265,Thu Mar 12 13:03:10 CET 2020,4844.43,EUR,Esse doloremque velit.
Ervin,BE80620237528057,BE11665428331037,Sat Mar 14 15:05:20 CET 2020,-490.65,EUR,Animi dolorum ea.
Sherice,BE07649312873329,BE61777426330263,Sat Mar 14 12:29:29 CET 2020,-4026.31,EUR,Ut dolorem cum et quas.
Sherice,BE07649312873329,BE13683804528787,Sun Mar 08 05:56:06 CET 2020,2670.15,EUR,Voluptas et nisi iste quaerat qui ipsum.
Sherice,BE07649312873329,BE30246452366700,Sat Mar 07 22:23:19 CET 2020,-938.32,EUR,Distinctio possimus sed minima eum rerum consequuntur earum.
Sherice,BE07649312873329,BE88555193458076,Fri Mar 13 05:47:23 CET 2020,-3383.32,EUR,Iure nihil laudantium placeat.
Sherice,BE07649312873329,BE16128187634102,Fri Mar 06 16:28:25 CET 2020,2426.05,EUR,Voluptas voluptatibus tenetur.
Sherice,BE07649312873329,BE11123738300937,Tue Mar 10 11:26:40 CET 2020,-1029.19,EUR,Dolore sed velit quibusdam.
Sherice,BE07649312873329,BE37770959841312,Mon Mar 16 12:14:39 CET 2020,3421.07,EUR,Veritatis est vero velit aliquid qui ut corporis.
Sherice,BE07649312873329,BE79547251042366,Fri Feb 21 08:39:15 CET 2020,2911.39,EUR,Voluptatem tempora corrupti iure quis fugiat qui maxime.
Sherice,BE07649312873329,BE83996986496160,Thu Mar 12 21:04:42 CET 2020,-339.09,EUR,Qui repellendus doloribus ipsa.
Kory,BE89513781390745,BE03192109202810,Tue Mar 03 23:06:37 CET 2020,-4420.55,EUR,Totam facilis quo sint.
Juanita,BE25562863993588,BE37874029328901,Wed Mar 04 17:50:36 CET 2020,-3372.74,EUR,Eaque nesciunt consequatur numquam.
Juanita,BE25562863993588,BE73578800175007,Sat Mar 14 21:13:02 CET 2020,2303.87,EUR,Dolor eum voluptatum quia suscipit repellendus.
Juanita,BE25562863993588,BE19867780526175,Sat Mar 07 13:01:52 CET 2020,1029.93,EUR,Excepturi dolores labore quis.
Juanita,BE25562863993588,BE31819105764842,Sat Mar 07 15:05:35 CET 2020,-1421.96,EUR,Repellat et dignissimos odit voluptatem aut eius.
Enoch,BE08399336490835,BE39714836722826,Tue Mar 03 06:38:58 CET 2020,2589.69,EUR,Temporibus placeat temporibus eveniet ducimus voluptatum.
Enoch,BE08399336490835,BE16352588022698,Fri Mar 06 15:00:04 CET 2020,1843.32,EUR,Ea ut et occaecati in dignissimos.
Enoch,BE08399336490835,BE74938283398353,Thu Mar 12 21:29:59 CET 2020,2791.19,EUR,Doloribus laborum et rerum dolores rerum architecto.
Enoch,BE08399336490835,BE94615462628988,Mon Mar 16 09:07:02 CET 2020,4600.58,EUR,Sapiente sunt architecto quo quia modi debitis ea.
